"file","match","reason"
"2026-03-01-model-eval-scorecard.md","Claude Opus 4.6","Not listed in official Anthropic model references."
"2026-03-01-model-eval-scorecard.md","Claude Opus 4.6","Not listed in official Anthropic model references."
"2026-03-01-model-eval-scorecard.md","Claude Opus 4.7","Not listed in official Anthropic model references."
"2026-03-09-model-eval-scorecard.md","Claude Opus 4.6","Not listed in official Anthropic model references."
"2026-03-09-model-eval-scorecard.md","Claude Opus 4.6","Not listed in official Anthropic model references."
"2026-03-09-model-eval-scorecard.md","Claude Opus 4.6","Not listed in official Anthropic model references."
"2026-03-09-model-eval-scorecard.md","Claude Opus 4.6","Not listed in official Anthropic model references."
"2026-03-10-model-eval-scorecard.md","Claude Opus 4.6","Not listed in official Anthropic model references."
"2026-03-10-model-eval-scorecard.md","Claude Opus 4.6","Not listed in official Anthropic model references."
"2026-03-10-model-eval-scorecard.md","Claude Opus 4.6","Not listed in official Anthropic model references."
"2026-03-10-model-eval-scorecard.md","Claude Opus 4.6","Not listed in official Anthropic model references."
"2026-03-10-model-eval-scorecard.md","Kimi K2.5","Public provider docs could not be validated in this build."
"2026-03-10-model-eval-scorecard.md","Kimi K2.5","Public provider docs could not be validated in this build."
"2026-03-10-model-eval-scorecard.md","Kimi K2.5","Public provider docs could not be validated in this build."
"2026-03-11-model-eval-scorecard.md","Claude Opus 4.6","Not listed in official Anthropic model references."
"2026-03-11-model-eval-scorecard.md","Claude Opus 4.6","Not listed in official Anthropic model references."
"2026-03-11-model-eval-scorecard.md","Claude Opus 4.6","Not listed in official Anthropic model references."
"2026-03-11-model-eval-scorecard.md","Claude Opus 4.6","Not listed in official Anthropic model references."
"2026-03-11-model-eval-scorecard.md","Claude Opus 4.6","Not listed in official Anthropic model references."
"2026-03-11-model-eval-scorecard.md","Claude Opus 4.6","Not listed in official Anthropic model references."
"2026-03-11-model-eval-scorecard.md","Claude Opus 4.6","Not listed in official Anthropic model references."
"2026-03-11-model-eval-scorecard.md","Claude Opus 4.6","Not listed in official Anthropic model references."
"2026-03-11-model-eval-scorecard.md","Claude Opus 4.6","Not listed in official Anthropic model references."
"2026-03-11-model-eval-scorecard.md","Claude Opus 4.6","Not listed in official Anthropic model references."
"2026-03-11-model-eval-scorecard.md","Claude Opus 4.6","Not listed in official Anthropic model references."
"2026-03-13-model-eval-scorecard.md","Claude Opus 4.6","Not listed in official Anthropic model references."
"2026-03-13-model-eval-scorecard.md","Claude Opus 4.6","Not listed in official Anthropic model references."
"2026-03-13-model-eval-scorecard.md","Claude Opus 4.6","Not listed in official Anthropic model references."
"2026-03-13-model-eval-scorecard.md","Claude Opus 4.6","Not listed in official Anthropic model references."
"2026-03-13-model-eval-scorecard.md","Claude Opus 4.6","Not listed in official Anthropic model references."
"2026-03-13-model-eval-scorecard.md","Claude Opus 4.6","Not listed in official Anthropic model references."
"2026-03-13-model-eval-scorecard.md","Claude Opus 4.6","Not listed in official Anthropic model references."
"2026-03-13-model-eval-scorecard.md","Claude Opus 4.6","Not listed in official Anthropic model references."
"2026-03-13-model-eval-scorecard.md","Claude Opus 4.6","Not listed in official Anthropic model references."
"2026-03-13-model-eval-scorecard.md","Claude Opus 4.6","Not listed in official Anthropic model references."
"2026-03-13-model-eval-scorecard.md","Claude Opus 4.6","Not listed in official Anthropic model references."
"2026-03-13-model-eval-scorecard.md","Claude Opus 4.6","Not listed in official Anthropic model references."
"2026-03-13-model-eval-scorecard.md","Claude Opus 4.6","Not listed in official Anthropic model references."
"2026-03-22-model-eval-scorecard.md","Claude Opus 4.6","Not listed in official Anthropic model references."
"2026-03-22-model-eval-scorecard.md","Claude Opus 4.6","Not listed in official Anthropic model references."
"2026-03-22-model-eval-scorecard.md","Claude Opus 4.6","Not listed in official Anthropic model references."
"2026-03-22-model-eval-scorecard.md","Claude Opus 4.6","Not listed in official Anthropic model references."
"2026-03-22-model-eval-scorecard.md","Claude Opus 4.6","Not listed in official Anthropic model references."
"2026-03-22-model-eval-scorecard.md","Claude Opus 4.6","Not listed in official Anthropic model references."
"2026-03-22-model-eval-scorecard.md","Claude Opus 4.6","Not listed in official Anthropic model references."
"2026-03-22-model-eval-scorecard.md","Claude Opus 4.6","Not listed in official Anthropic model references."
"2026-03-22-model-eval-scorecard.md","Claude Opus 4.6","Not listed in official Anthropic model references."
"2026-03-22-model-eval-scorecard.md","Claude Opus 4.6","Not listed in official Anthropic model references."
"2026-03-22-model-eval-scorecard.md","Claude Opus 4.6","Not listed in official Anthropic model references."
"2026-03-24-model-eval-scorecard.md","Claude Opus 4.6","Not listed in official Anthropic model references."
"2026-03-24-model-eval-scorecard.md","Claude Opus 4.6","Not listed in official Anthropic model references."
"2026-03-24-model-eval-scorecard.md","Claude Opus 4.6","Not listed in official Anthropic model references."
"2026-03-24-model-eval-scorecard.md","Claude Opus 4.6","Not listed in official Anthropic model references."
"2026-03-24-model-eval-scorecard.md","Claude Opus 4.6","Not listed in official Anthropic model references."
"2026-03-24-model-eval-scorecard.md","Claude Opus 4.6","Not listed in official Anthropic model references."
"2026-03-24-model-eval-scorecard.md","Claude Opus 4.6","Not listed in official Anthropic model references."
"2026-03-24-model-eval-scorecard.md","Claude Opus 4.6","Not listed in official Anthropic model references."
"2026-03-24-model-eval-scorecard.md","Claude Opus 4.6","Not listed in official Anthropic model references."
"2026-03-24-model-eval-scorecard.md","Claude Opus 4.6","Not listed in official Anthropic model references."
"2026-03-24-model-eval-scorecard.md","Claude Opus 4.6","Not listed in official Anthropic model references."
"2026-03-24-model-eval-scorecard.md","Claude Opus 4.6","Not listed in official Anthropic model references."
"2026-03-25-model-eval-scorecard.md","Claude Opus 4.6","Not listed in official Anthropic model references."
"2026-03-25-model-eval-scorecard.md","Claude Opus 4.6","Not listed in official Anthropic model references."
"2026-03-25-model-eval-scorecard.md","Claude Opus 4.6","Not listed in official Anthropic model references."
"2026-03-25-model-eval-scorecard.md","Claude Opus 4.6","Not listed in official Anthropic model references."
"2026-03-25-model-eval-scorecard.md","Claude Opus 4.6","Not listed in official Anthropic model references."
"2026-03-25-model-eval-scorecard.md","Claude Opus 4.6","Not listed in official Anthropic model references."
"2026-03-25-model-eval-scorecard.md","Claude Opus 4.6","Not listed in official Anthropic model references."
"2026-03-25-model-eval-scorecard.md","Claude Opus 4.6","Not listed in official Anthropic model references."
"2026-03-25-model-eval-scorecard.md","Claude Opus 4.6","Not listed in official Anthropic model references."
"2026-03-25-model-eval-scorecard.md","Claude Opus 4.6","Not listed in official Anthropic model references."
"2026-03-25-model-eval-scorecard.md","Claude Opus 4.6","Not listed in official Anthropic model references."
"2026-03-26-model-eval-scorecard.md","Claude Opus 4.6","Not listed in official Anthropic model references."
"2026-03-26-model-eval-scorecard.md","Claude Opus 4.6","Not listed in official Anthropic model references."
"2026-03-26-model-eval-scorecard.md","Claude Opus 4.6","Not listed in official Anthropic model references."
"2026-03-26-model-eval-scorecard.md","Claude Opus 4.6","Not listed in official Anthropic model references."
"2026-03-26-model-eval-scorecard.md","Claude Opus 4.6","Not listed in official Anthropic model references."
"2026-03-26-model-eval-scorecard.md","Claude Opus 4.6","Not listed in official Anthropic model references."
"2026-03-26-model-eval-scorecard.md","Claude Opus 4.6","Not listed in official Anthropic model references."
"2026-03-26-model-eval-scorecard.md","Claude Opus 4.6","Not listed in official Anthropic model references."
"2026-03-26-model-eval-scorecard.md","Claude Opus 4.6","Not listed in official Anthropic model references."
"2026-03-26-model-eval-scorecard.md","Claude Opus 4.6","Not listed in official Anthropic model references."
"2026-03-26-model-eval-scorecard.md","Claude Opus 4.6","Not listed in official Anthropic model references."
"2026-03-28-model-eval-scorecard.md","Claude Opus 4.6","Not listed in official Anthropic model references."
"2026-03-28-model-eval-scorecard.md","Claude Opus 4.6","Not listed in official Anthropic model references."
"2026-03-28-model-eval-scorecard.md","Claude Opus 4.6","Not listed in official Anthropic model references."
"2026-03-28-model-eval-scorecard.md","Claude Opus 4.6","Not listed in official Anthropic model references."
"2026-03-28-model-eval-scorecard.md","Claude Opus 4.6","Not listed in official Anthropic model references."
"2026-03-28-model-eval-scorecard.md","Claude Opus 4.6","Not listed in official Anthropic model references."
"2026-03-28-model-eval-scorecard.md","Claude Opus 4.6","Not listed in official Anthropic model references."
"2026-03-28-model-eval-scorecard.md","Claude Opus 4.6","Not listed in official Anthropic model references."
"2026-03-28-model-eval-scorecard.md","Claude Opus 4.6","Not listed in official Anthropic model references."
"2026-03-28-model-eval-scorecard.md","Claude Opus 4.6","Not listed in official Anthropic model references."
"2026-03-28-model-eval-scorecard.md","Claude Opus 4.6","Not listed in official Anthropic model references."
"2026-03-29-model-eval-scorecard.md","Claude Opus 4.6","Not listed in official Anthropic model references."
"2026-03-29-model-eval-scorecard.md","Claude Opus 4.6","Not listed in official Anthropic model references."
"2026-03-29-model-eval-scorecard.md","Claude Opus 4.6","Not listed in official Anthropic model references."
"2026-03-29-model-eval-scorecard.md","Claude Opus 4.6","Not listed in official Anthropic model references."
"2026-03-29-model-eval-scorecard.md","Claude Opus 4.6","Not listed in official Anthropic model references."
"2026-03-29-model-eval-scorecard.md","Claude Opus 4.6","Not listed in official Anthropic model references."
"2026-03-29-model-eval-scorecard.md","Claude Opus 4.6","Not listed in official Anthropic model references."
"2026-03-29-model-eval-scorecard.md","Claude Opus 4.6","Not listed in official Anthropic model references."
"2026-03-29-model-eval-scorecard.md","Claude Opus 4.6","Not listed in official Anthropic model references."
"2026-03-29-model-eval-scorecard.md","Claude Opus 4.6","Not listed in official Anthropic model references."
"2026-03-29-model-eval-scorecard.md","Claude Opus 4.6","Not listed in official Anthropic model references."
"2026-03-31-model-eval-scorecard.md","Claude Opus 4.6","Not listed in official Anthropic model references."
"2026-03-31-model-eval-scorecard.md","Claude Opus 4.6","Not listed in official Anthropic model references."
"2026-03-31-model-eval-scorecard.md","Claude Opus 4.6","Not listed in official Anthropic model references."
"2026-03-31-model-eval-scorecard.md","Claude Opus 4.6","Not listed in official Anthropic model references."
"2026-03-31-model-eval-scorecard.md","Claude Opus 4.6","Not listed in official Anthropic model references."
"2026-03-31-model-eval-scorecard.md","Claude Opus 4.6","Not listed in official Anthropic model references."
"2026-03-31-model-eval-scorecard.md","Claude Opus 4.6","Not listed in official Anthropic model references."
"2026-03-31-model-eval-scorecard.md","Claude Opus 4.6","Not listed in official Anthropic model references."
"2026-03-31-model-eval-scorecard.md","Claude Opus 4.6","Not listed in official Anthropic model references."
"2026-03-31-model-eval-scorecard.md","Claude Opus 4.6","Not listed in official Anthropic model references."
"2026-03-31-model-eval-scorecard.md","Claude Opus 4.6","Not listed in official Anthropic model references."
"2026-03-31-model-eval-scorecard.md","Claude Opus 4.6","Not listed in official Anthropic model references."
"2026-04-02-model-eval-scorecard.md","Claude Opus 4.6","Not listed in official Anthropic model references."
"2026-04-02-model-eval-scorecard.md","Claude Opus 4.6","Not listed in official Anthropic model references."
"2026-04-02-model-eval-scorecard.md","Claude Opus 4.6","Not listed in official Anthropic model references."
"2026-04-02-model-eval-scorecard.md","Claude Opus 4.6","Not listed in official Anthropic model references."
"2026-04-02-model-eval-scorecard.md","Claude Opus 4.6","Not listed in official Anthropic model references."
"2026-04-02-model-eval-scorecard.md","Claude Opus 4.6","Not listed in official Anthropic model references."
"2026-04-02-model-eval-scorecard.md","Claude Opus 4.6","Not listed in official Anthropic model references."
"2026-04-02-model-eval-scorecard.md","Claude Opus 4.6","Not listed in official Anthropic model references."
"2026-04-02-model-eval-scorecard.md","Claude Opus 4.6","Not listed in official Anthropic model references."
"2026-04-02-model-eval-scorecard.md","Claude Opus 4.6","Not listed in official Anthropic model references."
"2026-04-02-model-eval-scorecard.md","Claude Opus 4.6","Not listed in official Anthropic model references."
"2026-04-03-model-eval-scorecard.md","Claude Opus 4.6","Not listed in official Anthropic model references."
"2026-04-03-model-eval-scorecard.md","Claude Opus 4.6","Not listed in official Anthropic model references."
"2026-04-03-model-eval-scorecard.md","Claude Opus 4.6","Not listed in official Anthropic model references."
"2026-04-03-model-eval-scorecard.md","Claude Opus 4.6","Not listed in official Anthropic model references."
"2026-04-03-model-eval-scorecard.md","Claude Opus 4.6","Not listed in official Anthropic model references."
"2026-04-03-model-eval-scorecard.md","Claude Opus 4.6","Not listed in official Anthropic model references."
"2026-04-03-model-eval-scorecard.md","Claude Opus 4.6","Not listed in official Anthropic model references."
"2026-04-03-model-eval-scorecard.md","Claude Opus 4.6","Not listed in official Anthropic model references."
"2026-04-03-model-eval-scorecard.md","Claude Opus 4.6","Not listed in official Anthropic model references."
"2026-04-03-model-eval-scorecard.md","Claude Opus 4.6","Not listed in official Anthropic model references."
"2026-04-03-model-eval-scorecard.md","Claude Opus 4.6","Not listed in official Anthropic model references."
"2026-04-04-model-eval-scorecard.md","Claude Opus 4.6","Not listed in official Anthropic model references."
"2026-04-04-model-eval-scorecard.md","Claude Opus 4.6","Not listed in official Anthropic model references."
"2026-04-04-model-eval-scorecard.md","Claude Opus 4.6","Not listed in official Anthropic model references."
"2026-04-04-model-eval-scorecard.md","Claude Opus 4.6","Not listed in official Anthropic model references."
"2026-04-04-model-eval-scorecard.md","Claude Opus 4.6","Not listed in official Anthropic model references."
"2026-04-04-model-eval-scorecard.md","Claude Opus 4.6","Not listed in official Anthropic model references."
"2026-04-04-model-eval-scorecard.md","Claude Opus 4.6","Not listed in official Anthropic model references."
"2026-04-04-model-eval-scorecard.md","Claude Opus 4.6","Not listed in official Anthropic model references."
"2026-04-04-model-eval-scorecard.md","Claude Opus 4.6","Not listed in official Anthropic model references."
"2026-04-04-model-eval-scorecard.md","Claude Opus 4.6","Not listed in official Anthropic model references."
"2026-04-04-model-eval-scorecard.md","Claude Opus 4.6","Not listed in official Anthropic model references."
"2026-04-05-model-eval-scorecard.md","Claude Opus 4.6","Not listed in official Anthropic model references."
"2026-04-05-model-eval-scorecard.md","Claude Opus 4.6","Not listed in official Anthropic model references."
"2026-04-05-model-eval-scorecard.md","Claude Opus 4.6","Not listed in official Anthropic model references."
"2026-04-05-model-eval-scorecard.md","Claude Opus 4.6","Not listed in official Anthropic model references."
"2026-04-05-model-eval-scorecard.md","Claude Opus 4.6","Not listed in official Anthropic model references."
"2026-04-05-model-eval-scorecard.md","Claude Opus 4.6","Not listed in official Anthropic model references."
"2026-04-05-model-eval-scorecard.md","Claude Opus 4.6","Not listed in official Anthropic model references."
"2026-04-05-model-eval-scorecard.md","Claude Opus 4.6","Not listed in official Anthropic model references."
"2026-04-05-model-eval-scorecard.md","Claude Opus 4.6","Not listed in official Anthropic model references."
"2026-04-05-model-eval-scorecard.md","Claude Opus 4.6","Not listed in official Anthropic model references."
"2026-04-05-model-eval-scorecard.md","Claude Opus 4.6","Not listed in official Anthropic model references."
"2026-04-06-model-eval-scorecard.md","Claude Opus 4.6","Not listed in official Anthropic model references."
"2026-04-06-model-eval-scorecard.md","Claude Opus 4.6","Not listed in official Anthropic model references."
"2026-04-06-model-eval-scorecard.md","Claude Opus 4.6","Not listed in official Anthropic model references."
"2026-04-06-model-eval-scorecard.md","Claude Opus 4.6","Not listed in official Anthropic model references."
"2026-04-06-model-eval-scorecard.md","Claude Opus 4.6","Not listed in official Anthropic model references."
"2026-04-06-model-eval-scorecard.md","Claude Opus 4.6","Not listed in official Anthropic model references."
"2026-04-06-model-eval-scorecard.md","Claude Opus 4.6","Not listed in official Anthropic model references."
"2026-04-06-model-eval-scorecard.md","Claude Opus 4.6","Not listed in official Anthropic model references."
"2026-04-06-model-eval-scorecard.md","Claude Opus 4.6","Not listed in official Anthropic model references."
"2026-04-06-model-eval-scorecard.md","Claude Opus 4.6","Not listed in official Anthropic model references."
"2026-04-06-model-eval-scorecard.md","Claude Opus 4.6","Not listed in official Anthropic model references."
"2026-04-08-model-eval-scorecard.md","Claude Opus 4.6","Not listed in official Anthropic model references."
"2026-04-08-model-eval-scorecard.md","Claude Opus 4.6","Not listed in official Anthropic model references."
"2026-04-08-model-eval-scorecard.md","Claude Opus 4.6","Not listed in official Anthropic model references."
"2026-04-08-model-eval-scorecard.md","Claude Opus 4.6","Not listed in official Anthropic model references."
"2026-04-08-model-eval-scorecard.md","Claude Opus 4.6","Not listed in official Anthropic model references."
"2026-04-08-model-eval-scorecard.md","Claude Opus 4.6","Not listed in official Anthropic model references."
"2026-04-08-model-eval-scorecard.md","Claude Opus 4.6","Not listed in official Anthropic model references."
"2026-04-08-model-eval-scorecard.md","Claude Opus 4.6","Not listed in official Anthropic model references."
"2026-04-08-model-eval-scorecard.md","Claude Opus 4.6","Not listed in official Anthropic model references."
"2026-04-08-model-eval-scorecard.md","Claude Opus 4.6","Not listed in official Anthropic model references."
"2026-04-08-model-eval-scorecard.md","Claude Opus 4.6","Not listed in official Anthropic model references."
"2026-04-08-model-eval-scorecard.md","Claude Opus 4.6","Not listed in official Anthropic model references."
"first-post.md","5.3-Codex-Spark","Not listed in official OpenAI model references."
"first-post.md","Claude Opus 4.6","Not listed in official Anthropic model references."
"first-post.md","Kimi K2.5","Public provider docs could not be validated in this build."